FID,Wet_Maxent,NPP,Economy,Category,Status,Sitename
419,1,1443,Pastoralist,Anth,Predict,
886,1,1444,Pastoralist,Anth,Predict,
876,1,1449,Fishing/Foraging,Anth,Predict,
291,1,1451,Mixed,Anth,Predict,
778,4,1452,Pastoralist,Anth,Predict,
847,4,1455,Pastoralist,Anth,Predict,
329,1,1456,Fishing/Foraging,Anth,Predict,
251,1,1458,Mixed,Anth,Predict,
620,1,1462,Pastoralist,Anth,Predict,
775,1,1463,Fishing/Foraging,Anth,Predict,
880,1,1464,Fishing/Foraging,Anth,Predict,
806,1,1467,Pastoralist,Anth,Predict,
190,2,1470,Non Anth,Non Anth,Predict,
889,4,1471,Pastoralist,Anth,Predict,
883,1,1472,Fishing/Foraging,Anth,Predict,
346,4,1473,Pastoralist,Anth,Predict,
604,2,1474,Pastoralist,Anth,Predict,
724,4,1477,Pastoralist,Anth,Predict,
765,1,1477,Fishing/Foraging,Anth,Predict,
45,1,1479,Mixed,Anth,Predict,
879,4,1482,Pastoralist,Anth,Predict,
901,1,1482,Fishing/Foraging,Anth,Predict,
33,1,1495,Mixed,Anth,Predict,
320,3,1495,Non Anth,Non Anth,Predict,
733,1,1495,Fishing/Foraging,Anth,Predict,
895,4,1498,Pastoralist,Anth,Predict,
856,4,1499,Pastoralist,Anth,Predict,
202,4,1500,Pastoralist,Anth,Predict,
218,4,1500,Mixed,Anth,Predict,
505,1,1505,Mixed,Anth,Predict,
433,1,1510,Pastoralist,Anth,Predict,
863,2,1510,Pastoralist,Anth,Predict,
708,4,1512,Pastoralist,Anth,Predict,
196,1,1514,Fishing/Foraging,Anth,Predict,
38,4,1515,Mixed,Anth,Predict,
735,4,1516,Pastoralist,Anth,Predict,
700,4,1519,Pastoralist,Anth,Predict,
297,1,1520,Mixed,Anth,Predict,
781,4,1521,Pastoralist,Anth,Predict,
276,4,1522,Mixed,Anth,Predict,
589,1,1522,Pastoralist,Anth,Predict,
857,1,1525,Mixed,Anth,Predict,
253,1,1531,Mixed,Anth,Predict,
747,1,1532,Fishing/Foraging,Anth,Predict,
784,4,1532,Pastoralist,Anth,Predict,
540,4,1533,Pastoralist,Anth,Predict,
524,1,1537,Mixed,Anth,Predict,
36,4,1542,Mixed,Anth,Predict,
865,4,1542,Pastoralist,Anth,Predict,
699,2,1545,Pastoralist,Anth,Predict,
728,4,1553,Pastoralist,Anth,Predict,
452,3,1554,Pastoralist,Anth,Predict,
629,1,1554,Pastoralist,Anth,Predict,
710,4,1554,Pastoralist,Anth,Predict,
47,4,1558,Mixed,Anth,Predict,
753,4,1558,Pastoralist,Anth,Predict,
907,1,1558,Fishing/Foraging,Anth,Predict,
872,4,1563,Mixed,Anth,Predict,
224,4,1566,Mixed,Anth,Predict,
564,2,1570,Non Anth,Non Anth,Predict,
675,4,1572,Pastoralist,Anth,Predict,
360,2,1573,Non Anth,Non Anth,Predict,
665,4,1573,Pastoralist,Anth,Predict,
783,1,1574,Fishing/Foraging,Anth,Predict,
489,1,1576,Fishing/Foraging,Anth,Predict,
587,1,1576,Pastoralist,Anth,Predict,
183,4,1577,Pastoralist,Anth,Predict,
791,4,1578,Pastoralist,Anth,Predict,
720,4,1579,Pastoralist,Anth,Predict,
795,1,1581,Fishing/Foraging,Anth,Predict,
742,4,1582,Pastoralist,Anth,Predict,
74,4,1583,Mixed,Anth,Predict,
529,2,1583,Non Anth,Non Anth,Predict,
721,4,1583,Mixed,Anth,Predict,
705,4,1594,Pastoralist,Anth,Predict,
601,1,1597,Pastoralist,Anth,Predict,
407,4,1598,Pastoralist,Anth,Predict,
755,1,1598,Fishing/Foraging,Anth,Predict,
21,1,1600,Mixed,Anth,Predict,
66,4,1603,Mixed,Anth,Predict,
866,4,1603,Pastoralist,Anth,Predict,
702,2,1607,Pastoralist,Anth,Predict,
88,4,1609,Mixed,Anth,Predict,
541,4,1609,Pastoralist,Anth,Predict,
568,4,1609,Pastoralist,Anth,Predict,
707,4,1611,Pastoralist,Anth,Predict,
53,2,1613,Mixed,Anth,Predict,
792,4,1614,Pastoralist,Anth,Predict,
809,1,1616,Pastoralist,Anth,Predict,
677,4,1621,Mixed,Anth,Predict,
762,4,1621,Pastoralist,Anth,Predict,
150,1,1626,Mixed,Anth,Predict,
252,2,1626,Mixed,Anth,Predict,
414,4,1626,Pastoralist,Anth,Predict,
750,2,1627,Pastoralist,Anth,Predict,
149,2,1633,Mixed,Anth,Predict,
285,2,1637,Mixed,Anth,Predict,
719,4,1637,Pastoralist,Anth,Predict,
347,4,1639,Pastoralist,Anth,Predict,
868,2,1642,Pastoralist,Anth,Predict,
219,1,1645,Mixed,Anth,Predict,
850,2,1645,Pastoralist,Anth,Predict,
511,4,1651,Mixed,Anth,Predict,
147,2,1652,Mixed,Anth,Predict,
374,4,1652,Pastoralist,Anth,Predict,
773,4,1655,Pastoralist,Anth,Predict,
749,4,1656,Pastoralist,Anth,Predict,
222,3,1657,Non Anth,Non Anth,Predict,
772,4,1659,Pastoralist,Anth,Predict,
70,4,1660,Mixed,Anth,Predict,
523,1,1661,Fishing/Foraging,Anth,Predict,
225,4,1663,Mixed,Anth,Predict,
294,1,1665,Mixed,Anth,Predict,
890,2,1666,Pastoralist,Anth,Predict,
900,2,1666,Pastoralist,Anth,Predict,
746,4,1667,Pastoralist,Anth,Predict,
385,1,1668,Fishing/Foraging,Anth,Predict,
391,4,1668,Pastoralist,Anth,Predict,
893,4,1673,Pastoralist,Anth,Predict,
78,2,1677,Mixed,Anth,Predict,
393,4,1677,Pastoralist,Anth,Predict,
718,4,1678,Pastoralist,Anth,Predict,
41,2,1684,Mixed,Anth,Predict,
875,4,1684,Pastoralist,Anth,Predict,
62,2,1687,Mixed,Anth,Predict,
386,4,1689,Pastoralist,Anth,Predict,
531,1,1689,Fishing/Foraging,Anth,Predict,
793,4,1690,Pastoralist,Anth,Predict,
706,4,1692,Pastoralist,Anth,Predict,
266,2,1693,Mixed,Anth,Predict,
668,4,1693,Pastoralist,Anth,Predict,
140,2,1694,Mixed,Anth,Predict,
376,3,1702,Non Anth,Non Anth,Predict,
703,4,1704,Mixed,Anth,Predict,
